epsilon,m,n,iterations,predicted_iterations,percent_of_predicted,gap,primal_value,dual_value,mu,lipschitz,operator_norm,converged,elapsed_seconds,mu_mode,stages
0.01,1000,10000,1457,3191,45.659667815731744,0.009995854776646745,-0.023855810579495457,-0.0338516653561422,0.0007238241365054198,1381.5508714915861,0.9999999332978515,True,8.392648299999564,fixed,1
0.001,100,100,7123,18419,38.67202345404202,0.0009996956001960162,0.008085078822508363,0.007085383222312346,0.00010857362047581295,9207.67446054779,0.9998552656981667,True,1.5585463999996136,fixed,1
0.001,100,300,8426,20501,41.100434125164625,0.0009983841305338664,-0.06085451776638555,-0.061852901896919416,0.00010857362047581295,9210.152394962486,0.9999897952754602,True,7.978349900000467,fixed,1
0.001,100,1000,8928,22561,39.57271397544435,0.0009995151544095748,-0.09645280917190417,-0.09745232432631375,0.00010857362047581295,9210.211588724302,0.9999930087436044,True,44.58264309999868,fixed,1
0.001,100,3000,10191,24289,41.95726460537692,0.0009997925568540345,-0.1241905187783415,-0.12519031133519554,0.00010857362047581295,9210.336787594646,0.9999998054153407,True,169.36231500000213,fixed,1
0.001,100,10000,10080,26051,38.6933323097002,0.0009995383395040303,-0.16237997066813448,-0.1633795090076385,0.00010857362047581295,9210.293895982555,0.9999974769633704,True,797.3166979999987,fixed,1
0.001,300,100,7337,20501,35.788498122042824,0.0009989293992473253,0.06439491011228399,0.06339598071303666,8.766112701907305e-05,11407.068499741667,0.999978240098814,True,1.212985199999821,fixed,1
0.001,300,300,8639,22815,37.86543940390094,0.0009996532653996498,-0.00085450707546713,-0.0018541603408667798,8.766112701907305e-05,11407.317954660703,0.9999891740266313,True,3.731864699999278,fixed,1
0.001,300,1000,10154,25108,40.4412936115979,0.0009997755901089284,-0.031343149341080054,-0.03234292493118898,8.766112701907305e-05,11407.55002159671,0.9999993457095953,True,20.42946110000048,fixed,1
0.001,300,3000,11302,27031,41.81125374569938,0.0009992342539203586,-0.05551595737266016,-0.056515191626580516,8.766112701907305e-05,11407.559770526124,0.9999997730108534,True,103.94966840000052,fixed,1
