problem,epsilon,seed,mu_mode,iterations,elapsed_seconds,objective_value,dual_value,gap,mu_final,stages,converged,predicted_iterations,percent_of_predicted
matrix_game,0.0001,0,fixed_mu,86363,340.7496209000001,-0.030701015958272064,-0.03080096389059079,9.994793231872523e-05,8.766112701907304e-06,1,True,251079,34.39674365438766
matrix_game,0.0001,0,continuation_mu,112314,450.9906635999978,-0.030697873740445338,-0.030797816584946305,9.994284450096785e-05,8.766112701907304e-06,3,True,251079,44.73253438160898
matrix_game,0.0001,1,fixed_mu,89312,360.13223389999985,-0.03639490547919866,-0.03649489740603268,9.999192683401992e-05,8.766112701907304e-06,1,True,251078,35.571416053975256
matrix_game,0.0001,1,continuation_mu,116280,479.4169804000012,-0.0363909211258535,-0.036490895182109455,9.997405625595396e-05,8.766112701907304e-06,3,True,251078,46.312301356550556
matrix_game,0.0001,2,fixed_mu,91480,375.7923918000015,-0.036364371084409965,-0.0364643670928861,9.999600847613449e-05,8.766112701907304e-06,1,True,251079,36.434747629232234
matrix_game,0.0001,2,continuation_mu,118310,494.7265600999963,-0.03636023570041855,-0.03646020678562955,9.997108521100223e-05,8.766112701907304e-06,3,True,251079,47.12062737226132
matrix_game,0.0001,3,fixed_mu,88509,360.99855260000186,-0.0344533865450387,-0.03455335634467265,9.996979963395464e-05,8.766112701907304e-06,1,True,251079,35.25145472142234
matrix_game,0.0001,3,continuation_mu,114584,476.96717359999457,-0.034450064423460464,-0.03455003354714668,9.996912368621935e-05,8.766112701907304e-06,3,True,251079,45.636632295014714
matrix_game,0.0001,4,fixed_mu,88137,347.46138449999853,-0.035465706473819206,-0.03556569667478067,9.999020096146394e-05,8.766112701907304e-06,1,True,251079,35.103294182309156
matrix_game,0.0001,4,continuation_mu,113805,456.24298120000094,-0.03546283695627245,-0.03556280848831236,9.997153203990944e-05,8.766112701907304e-06,3,True,251079,45.32637138111909
continuous_location,0.01,0,fixed_mu,3705,0.7061758999989252,31.74660399829809,31.736607871866667,0.009996126431424557,0.0002059702545874153,1,True,9711,38.15261044176707
continuous_location,0.01,0,continuation_mu,3296,0.6265673999987484,31.74660332277764,31.736606641589688,0.009996681187953271,0.0002059702545874153,3,True,9711,33.94089177221707
continuous_location,0.01,1,fixed_mu,2442,0.44860520000293036,33.443711459560085,33.43371243245048,0.009999027109607539,0.00020141009996249953,1,True,9930,24.59214501510574
continuous_location,0.01,1,continuation_mu,1364,0.2515601999948558,33.44371116154964,33.4343736965456,0.009337465004044532,0.00020141009996249953,3,True,9930,13.736153071500503
continuous_location,0.01,2,fixed_mu,3525,0.6484512999995786,32.0616154494379,32.05162479786899,0.009990651568912767,0.00020923192819412124,1,True,9559,36.87624228475782
continuous_location,0.01,2,continuation_mu,1861,0.34135910000259173,32.061612581071145,32.05172057535048,0.009892005720665509,0.00020923192819412124,3,True,9559,19.468563657286328
continuous_location,0.01,3,fixed_mu,3255,0.5946874999972351,34.026264509464745,34.016272104272694,0.009992405192051024,0.00020343389169759084,1,True,9832,33.106183889340926
continuous_location,0.01,3,continuation_mu,4050,0.7462635999982012,34.026263758873064,34.01627434614989,0.009989412723172109,0.00020343389169759084,3,True,9832,41.1920260374288
continuous_location,0.01,4,fixed_mu,3274,0.6033590999977605,32.83115728692849,32.821166546337835,0.00999074059065208,0.0002038881700878108,1,True,9810,33.374108053007134
continuous_location,0.01,4,continuation_mu,4044,0.7477663999998185,32.831157018862136,32.82116891072556,0.009988108136575136,0.0002038881700878108,3,True,9810,41.223241590214066
continuous_location,0.001,0,fixed_mu,18999,3.617990100003226,32.44513499412186,32.44413509555109,0.0009998985707682095,1.9883001083787193e-05,1,True,100589,18.887751145751523
continuous_location,0.001,0,continuation_mu,23348,4.442515900002036,32.44513498680858,32.44413510704293,0.0009998797656507463,1.9883001083787193e-05,3,True,100589,23.211285528238673
continuous_location,0.001,1,fixed_mu,36752,6.747047400000156,34.19939420240691,34.19839426084409,0.0009999415628172414,1.940656969004012e-05,1,True,103058,35.66147218071377
continuous_location,0.001,1,continuation_mu,45595,8.376831499997934,34.19939419771148,34.19839421275583,0.0009999849556479035,1.940656969004012e-05,3,True,103058,44.24207727687322
continuous_location,0.001,2,fixed_mu,34243,6.289431400000467,35.27351739977347,35.272517534581986,0.0009998651914813195,1.9133901097349455e-05,1,True,104527,32.75995675758416
continuous_location,0.001,2,continuation_mu,42493,7.803369199995359,35.27351737608371,35.272517404072126,0.0009999720115843047,1.9133901097349455e-05,3,True,104527,40.6526543381136
continuous_location,0.001,3,fixed_mu,37282,6.838685500002612,34.31233312186219,34.311333124326936,0.0009999975352528168,1.9383237988090542e-05,1,True,103182,36.13227113256188
continuous_location,0.001,3,continuation_mu,45980,8.420911499997601,34.312333096882476,34.31133312663363,0.0009999702488485696,1.9383237988090542e-05,3,True,103182,44.56203601403345
continuous_location,0.001,4,fixed_mu,23909,4.388654700000188,33.379954378234146,33.37895457642355,0.000999801810593226,2.0507950815685987e-05,1,True,97524,24.516016570280136
continuous_location,0.001,4,continuation_mu,29235,5.37425300000541,33.37995435926538,33.378954661425226,0.0009996978401574097,2.0507950815685987e-05,3,True,97524,29.97723637258521
continuous_location,0.0001,0,fixed_mu,298192,56.83233439999822,35.22025119398316,35.220151196651166,9.999733199350658e-05,1.9537482007770036e-06,1,True,1023674,29.12958617684927
continuous_location,0.0001,0,continuation_mu,369330,70.27926650000154,35.22025119343623,35.22015119421785,9.999921838499404e-05,1.9537482007770036e-06,3,True,1023674,36.07886885864055
continuous_location,0.0001,1,fixed_mu,323925,59.42560040000171,35.641535494933144,35.64143549833147,9.999660167636648e-05,1.930006564036865e-06,1,True,1036266,31.25886596684635
continuous_location,0.0001,1,continuation_mu,400924,73.63101690000622,35.641535494070204,35.64143549444573,9.999962447437838e-05,1.930006564036865e-06,3,True,1036266,38.689294061563345
continuous_location,0.0001,2,fixed_mu,324680,59.55232479999904,34.4708131040268,34.47071310454092,9.999948588301777e-05,1.927189232045947e-06,1,True,1037781,31.28598422981342
continuous_location,0.0001,2,continuation_mu,403032,73.92671000000337,34.47081310405065,34.47071310421777,9.999983287656278e-05,1.927189232045947e-06,3,True,1037781,38.835939374492305
continuous_location,0.0001,3,fixed_mu,327979,60.16106900000159,32.313454639275484,32.3133546413628,9.999791268455738e-05,2.0649339100184775e-06,1,True,968555,33.86271301061891
continuous_location,0.0001,3,continuation_mu,406821,74.7010732000017,32.313454638436596,32.313354638849646,9.99995869506165e-05,2.0649339100184775e-06,3,True,968555,42.00288057983284
continuous_location,0.0001,4,fixed_mu,258373,47.430871299999126,36.15349888743127,36.153398887782444,9.999964882467793e-05,1.8914395461887608e-06,1,True,1057396,24.43483803608109
continuous_location,0.0001,4,continuation_mu,318956,58.56358150000233,36.15349888701998,36.153398888541126,9.999847885211466e-05,1.8914395461887608e-06,3,True,1057396,30.164290388842023
