problem,epsilon,seed,mu_mode,iteration,stage,mu,gap,objective_value,dual_value
matrix_game,0.01,0,continuation_mu,500,2,0.003506445080762922,0.039641224681687105,-0.017456203735761885,-0.05709742841744899
matrix_game,0.01,0,continuation_mu,600,2,0.003506445080762922,0.0245309709575684,-0.02397028052858824,-0.04850125148615664
matrix_game,0.01,0,continuation_mu,644,2,0.003506445080762922,0.01996002852213352,-0.02601903323705039,-0.04597906175918391
matrix_game,0.01,0,continuation_mu,645,3,0.001753222540381461,0.0675358859123058,-0.02614495769390217,-0.09368084360620797
matrix_game,0.01,0,continuation_mu,700,3,0.001753222540381461,0.3242619034856024,0.02285002880755492,-0.3014118746780475
matrix_game,0.01,0,continuation_mu,800,3,0.001753222540381461,0.11335971021521289,0.004642545982763103,-0.10871716423244979
matrix_game,0.01,0,continuation_mu,900,3,0.001753222540381461,0.07193427215875071,-0.005218488211199678,-0.07715276036995039
matrix_game,0.01,0,continuation_mu,1000,3,0.001753222540381461,0.045994006876052894,-0.015341975180351124,-0.06133598205640402
matrix_game,0.01,0,continuation_mu,1100,3,0.001753222540381461,0.03046021047069769,-0.021637928578934325,-0.052098139049632015
matrix_game,0.01,0,continuation_mu,1200,3,0.001753222540381461,0.02152462497642602,-0.02585379434540779,-0.04737841932183381
matrix_game,0.01,0,continuation_mu,1300,3,0.001753222540381461,0.015842876900450845,-0.02824811072276627,-0.044090987623217115
matrix_game,0.01,0,continuation_mu,1400,3,0.001753222540381461,0.012165858111204152,-0.03002740394443095,-0.0421932620556351
matrix_game,0.01,0,continuation_mu,1483,3,0.001753222540381461,0.00996461002426368,-0.03115313411665463,-0.04111774414091831
matrix_game,0.001,0,fixed_mu,0,1,8.766112701907305e-05,1.0399490918278964,0.04910451003240119,-0.9908445817954953
matrix_game,0.001,0,fixed_mu,1,1,8.766112701907305e-05,1.0398624305200184,0.049017848724523014,-0.9908445817954953
matrix_game,0.001,0,fixed_mu,100,1,8.766112701907305e-05,0.7560761946811221,0.034805689169673686,-0.7212705055114484
matrix_game,0.001,0,fixed_mu,200,1,8.766112701907305e-05,0.37918307562316034,0.025819864990863667,-0.3533632106322967
matrix_game,0.001,0,fixed_mu,300,1,8.766112701907305e-05,0.28374631104618053,0.020215840338870018,-0.2635304707073105
matrix_game,0.001,0,fixed_mu,400,1,8.766112701907305e-05,0.24330630133026293,0.015491930649115117,-0.22781437068114782
matrix_game,0.001,0,fixed_mu,500,1,8.766112701907305e-05,0.18318351078735498,0.011673472824429949,-0.17151003796292502
matrix_game,0.001,0,fixed_mu,600,1,8.766112701907305e-05,0.14290351983613211,0.008287727970579122,-0.134615791865553
matrix_game,0.001,0,fixed_mu,700,1,8.766112701907305e-05,0.11720669353470739,0.005202406568591824,-0.11200428696611557
matrix_game,0.001,0,fixed_mu,800,1,8.766112701907305e-05,0.10124036130238773,0.002300598357158893,-0.09893976294522884
matrix_game,0.001,0,fixed_mu,900,1,8.766112701907305e-05,0.09632043856015306,-0.0004559991006349868,-0.09677643766078804
matrix_game,0.001,0,fixed_mu,1000,1,8.766112701907305e-05,0.08397127639267156,-0.0030419460506799795,-0.08701322244335154
matrix_game,0.001,0,fixed_mu,1100,1,8.766112701907305e-05,0.07235364174667856,-0.0054778465018468225,-0.07783148824852539
matrix_game,0.001,0,fixed_mu,1200,1,8.766112701907305e-05,0.06178162426654839,-0.007715320950689303,-0.06949694521723769
matrix_game,0.001,0,fixed_mu,1300,1,8.766112701907305e-05,0.05402994638010504,-0.009804191179803804,-0.06383413755990884
matrix_game,0.001,0,fixed_mu,1400,1,8.766112701907305e-05,0.049065463938740714,-0.011875387399914868,-0.06094085133865558
