problem,epsilon,seed,fixed_iterations,continuation_iterations,iteration_speedup,fixed_gap,continuation_gap,fixed_elapsed_seconds,continuation_elapsed_seconds,runtime_speedup
sum_absolute,0.0001,4,1297323,1664719,0.7793044952331294,9.999987837261415e-05,9.999995077691892e-05,68.35651289999805,87.96300920000431,0.7771052118575623
sum_absolute,0.001,0,110300,144081,0.7655416050693707,0.000999999228923798,0.000999988607532032,6.558731400000397,8.74099699999715,0.7503413397810953
sum_absolute,0.001,1,127668,164147,0.7777662704770724,0.0009999936782065788,0.0009999896603574143,6.150064099998417,7.967648800000461,0.7718794156687806
sum_absolute,0.001,2,113719,150349,0.7563668531217368,0.000999998733789198,0.0009999956751300942,6.0379300999993575,7.9423705999979575,0.7602176231868242
sum_absolute,0.001,3,114536,149394,0.7666706828922178,0.0009999969729648228,0.0009999962328350875,5.623621600003389,7.323446899998089,0.7678927254876193
sum_absolute,0.001,4,112225,146358,0.766784186720234,0.0009999841319938696,0.000999991780687992,5.971256099997845,7.713210699999763,0.7741595986737441
sum_absolute,0.01,0,12065,15694,0.7687651331719129,0.009999659876129385,0.009998901734235233,0.7301281000000017,0.9541420999994443,0.7652194573538124
sum_absolute,0.01,1,15338,19872,0.7718397745571659,0.009999378145877813,0.009998460350502114,0.8193337999982759,1.0566228000025149,0.7754269546297182
sum_absolute,0.01,2,15087,19523,0.7727808226194745,0.009999724156870116,0.00999865599742833,0.7273237999979756,0.9396305000045686,0.7740529921010857
sum_absolute,0.01,3,13826,18230,0.7584201865057597,0.009999860412406747,0.00999959466131628,0.7161484000025666,0.9456649999992806,0.7572960826541233
sum_absolute,0.01,4,15922,20946,0.7601451351093288,0.009998995478426309,0.009999857432106296,0.7959174999996321,1.0453761000026134,0.7613695204985482
