problem,seed,epsilon,inverse_epsilon,log_inverse_epsilon,iterations,predicted_iterations,elapsed_seconds,gap,converged
continuous_location,2,0.005,200.0,5.298317366548036,6487,20334,1.2272634000000835,0.004995989167241532,True
continuous_location,2,0.001,1000.0,6.907755278982137,31872,101667,6.307545099998606,0.0009998785546159183,True
continuous_location,2,0.0005,2000.0,7.600902459542082,64237,203333,12.455816900001082,0.0004999998780306214,True
continuous_location,2,0.0001,10000.0,9.210340371976184,321456,1016663,59.20058160000008,9.999961669393542e-05,True
continuous_location,3,0.1,10.0,2.302585092994046,321,958,0.059247099999993225,0.09957197760488157,True
continuous_location,3,0.05,20.0,2.995732273553991,633,1915,0.11634859999867331,0.049851963171811065,True
continuous_location,3,0.01,100.0,4.605170185988092,3012,9575,0.5560478000006697,0.009994043855311219,True
continuous_location,3,0.005,200.0,5.298317366548036,5940,19150,1.0935774999998102,0.004998288222736846,True
continuous_location,3,0.001,1000.0,6.907755278982137,29966,95750,5.511135400000057,0.0009998823476493612,True
continuous_location,3,0.0005,2000.0,7.600902459542082,60830,191499,11.21524330000102,0.0004999782204535563,True
continuous_location,3,0.0001,10000.0,9.210340371976184,303328,957493,55.827228000000105,9.999851246789149e-05,True
continuous_location,4,0.1,10.0,2.302585092994046,365,977,0.06783519999953569,0.09943004451562132,True
continuous_location,4,0.05,20.0,2.995732273553991,718,1954,0.14937599999939266,0.04992738705041688,True
continuous_location,4,0.01,100.0,4.605170185988092,3792,9766,0.7013366999999562,0.009991910645375413,True
continuous_location,4,0.005,200.0,5.298317366548036,7548,19531,1.398586900000737,0.0049974964881869255,True
continuous_location,4,0.001,1000.0,6.907755278982137,37633,97655,6.919351900000038,0.00099995805645392,True
continuous_location,4,0.0005,2000.0,7.600902459542082,75579,195309,13.933823200000916,0.0004999881917484572,True
continuous_location,4,0.0001,10000.0,9.210340371976184,377117,976545,70.07322010000098,9.999839598151539e-05,True
piecewise_linear_max_abs,0,0.1,10.0,2.302585092994046,451,628,0.035383700000238605,0.09996208311581456,True
piecewise_linear_max_abs,0,0.05,20.0,2.995732273553991,842,1256,0.06558289999884437,0.04991849462771236,True
piecewise_linear_max_abs,0,0.01,100.0,4.605170185988092,3830,6280,0.3342014999998355,0.009999681104115199,True
piecewise_linear_max_abs,0,0.005,200.0,5.298317366548036,7436,12560,0.651743999998871,0.004999849639810927,True
piecewise_linear_max_abs,0,0.001,1000.0,6.907755278982137,33984,62797,2.9738765000001877,0.0009999918429484111,True
piecewise_linear_max_abs,0,0.0005,2000.0,7.600902459542082,63332,125594,5.5245028999997885,0.0004999992676105736,True
piecewise_linear_max_abs,0,0.0001,10000.0,9.210340371976184,238577,627970,20.847300399998858,9.999809787064606e-05,True
piecewise_linear_max_abs,1,0.1,10.0,2.302585092994046,449,629,0.03492279999954917,0.09882098998194627,True
piecewise_linear_max_abs,1,0.05,20.0,2.995732273553991,849,1258,0.06601260000024922,0.04965623560339172,True
piecewise_linear_max_abs,1,0.01,100.0,4.605170185988092,3821,6289,0.32496700000046985,0.009996290841575606,True
piecewise_linear_max_abs,1,0.005,200.0,5.298317366548036,7459,12578,0.6455461999994441,0.004998743744875189,True
piecewise_linear_max_abs,1,0.001,1000.0,6.907755278982137,33964,62886,2.968531399999847,0.0009999956233143759,True
piecewise_linear_max_abs,1,0.0005,2000.0,7.600902459542082,63330,125771,5.5036373999992065,0.0004999864563244305,True
piecewise_linear_max_abs,1,0.0001,10000.0,9.210340371976184,238362,628854,21.11230810000052,9.999801645399486e-05,True
piecewise_linear_max_abs,2,0.1,10.0,2.302585092994046,436,629,0.0340316999991046,0.09996896580631554,True
piecewise_linear_max_abs,2,0.05,20.0,2.995732273553991,838,1257,0.06524870000066585,0.049909741557049636,True
piecewise_linear_max_abs,2,0.01,100.0,4.605170185988092,3858,6284,0.33160680000037246,0.009998674500733995,True
piecewise_linear_max_abs,2,0.005,200.0,5.298317366548036,7438,12568,0.6486381000013353,0.004998763737911083,True
piecewise_linear_max_abs,2,0.001,1000.0,6.907755278982137,33773,62839,2.978217300000324,0.0009999471176392327,True
piecewise_linear_max_abs,2,0.0005,2000.0,7.600902459542082,62785,125677,5.496774000001096,0.0004999977847354176,True
piecewise_linear_max_abs,2,0.0001,10000.0,9.210340371976184,234472,628383,20.45789270000023,9.999983391434375e-05,True
piecewise_linear_max_abs,3,0.1,10.0,2.302585092994046,447,634,0.03464039999926172,0.09809308888763002,True
piecewise_linear_max_abs,3,0.05,20.0,2.995732273553991,842,1267,0.06589260000146169,0.049802141020176105,True
piecewise_linear_max_abs,3,0.01,100.0,4.605170185988092,3844,6331,0.33033640000030573,0.009996490945208825,True
piecewise_linear_max_abs,3,0.005,200.0,5.298317366548036,7494,12662,0.6502110000001267,0.0049989265407004435,True
piecewise_linear_max_abs,3,0.001,1000.0,6.907755278982137,34104,63306,2.9723061000004236,0.0009999790050029267,True
piecewise_linear_max_abs,3,0.0005,2000.0,7.600902459542082,63082,126611,5.50370649999968,0.0004999910900873594,True
piecewise_linear_max_abs,3,0.0001,10000.0,9.210340371976184,233040,633054,20.445020200000727,9.999996494358676e-05,True
piecewise_linear_max_abs,4,0.1,10.0,2.302585092994046,443,628,0.03440800000134914,0.09973612704922374,True
piecewise_linear_max_abs,4,0.05,20.0,2.995732273553991,835,1255,0.06491669999923033,0.04984006395481044,True
piecewise_linear_max_abs,4,0.01,100.0,4.605170185988092,3799,6273,0.33017350000045553,0.009999987141842581,True
piecewise_linear_max_abs,4,0.005,200.0,5.298317366548036,7439,12545,0.653892199999973,0.004999407405838152,True
piecewise_linear_max_abs,4,0.001,1000.0,6.907755278982137,34710,62725,3.01127550000092,0.0009999722344440354,True
piecewise_linear_max_abs,4,0.0005,2000.0,7.600902459542082,65348,125450,5.755878900001335,0.0004999942527483814,True
piecewise_linear_max_abs,4,0.0001,10000.0,9.210340371976184,255635,627247,22.766679099999237,9.999988814390903e-05,True
sum_absolute,0,0.1,10.0,2.302585092994046,1601,6218,0.08184000000073866,0.09990300363202209,True
